Store,Baseline_Sales,Sales_Disc_10,Sales_Price_0,Disc_Uplift_Ratio,Disc_Uplift_Diff,Sales_Inc_10,Inc_Uplift_Ratio,Inc_Uplift_Diff,Sales_Promo_1,Promo_Uplift_Ratio,Promo_Uplift_Diff,ABV_Mean,Store_Segment
1,5372.224847564074,4823.089004769051,5372.224847564074,0.8977824163402213,-549.1358427950227,5922.639045254868,1.1024555399873794,550.414197690794,5681.9549201907175,1.0576539667298335,309.73007262664396,9.861839870896144,1
2,5421.74010939025,4867.543878131031,5421.74010939025,0.8977825900766856,-554.1962312592186,5977.226475822288,1.1024553658464662,555.4863664320383,5734.324401982861,1.0576538687369441,312.58429259261084,10.133137074897856,1
3,6768.093706474794,6076.302076137813,6768.093706474794,0.8977863397968073,-691.7916303369811,7461.495785718174,1.1024516073972244,693.4020792433803,7158.286178370602,1.0576517537755905,390.192471895808,9.084397870632648,3
4,10124.386451914861,9089.586535544664,10124.386451914861,0.8977913455511686,-1034.799916370197,11161.595319652179,1.1024465899897713,1037.2088677373176,10708.046501530356,1.057648930370996,583.6600496154952,8.011389526700002,0
5,4792.826365456999,4302.904213287684,4792.826365456999,0.8977801166133835,-489.92215216931527,5283.889026646058,1.1024578450678413,491.0626611890584,5069.158034139289,1.0576552638488796,276.33166868229,10.159732715265768,2
6,5739.56948934646,5152.891553081653,5739.56948934646,0.8977836338851245,-586.6779362648067,6327.61317622089,1.102454319608105,588.04368687443,6070.47449617111,1.0576532799958014,330.9050068246506,9.586576052847633,1
7,8058.0533380687,7234.42969072837,8058.0533380687,0.8977887570625425,-823.6236473403305,8883.594331245515,1.1024491845042408,825.5409931768145,8522.603258557068,1.0576503903608696,464.5499204883681,8.619069893975139,3
8,5579.827853481851,5009.475282398763,5579.827853481851,0.8977831241286084,-570.3525710830882,6151.508170715777,1.1024548305513033,571.680317233926,5901.5248353528705,1.057653567514682,321.6969818710195,9.651723573041945,1
9,5493.881658140535,4932.31266447189,5493.881658140535,0.8977828375977951,-561.5689936686458,6056.757950325181,1.102455117749143,562.8762921846455,5810.624423115694,1.0576537291271695,316.74276497515893,9.619664105586997,1
10,5651.257985144868,5073.605357454338,5651.257985144868,0.8977833556335649,-577.6526276905297,6230.255353074723,1.1024545985074174,578.9973679298546,5977.072431014765,1.057653436938527,325.8144458698971,9.681298343120169,1
